year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,Coded Bias,/m/coded_bias,51,54,100.0,An exploration into the fallout of MIT Media Lab researcher Joy Buolamwini's discovery of racial bias in facial recognition algorithms.,R (Some Horror Violence|Sexual Content|Language),Documentary,English,Shalini Kantayya,"Katie Holly, 



Yvonne Donohoe, 



Mary McCarthy",Shalini Kantayya,2020-03-06,2021-04-05,1h 30m,Good Deed Entertainment,Scope (2.351),Pixar,1.0,30.0,90.0
2020,Slay the Dragon,/m/slay_the_dragon,49,71,100.0,Activists work to rid gerrymandering from America's election process.,PG-13 (Brief Strong Language),Documentary,English,"Chris Durrance, 



Barak Goodman",Barak Goodman,Shalini Kantayya,2020-03-06,2020-04-03,1h 41m,Good Deed Entertainment,Scope (2.351),Pixar,1.0,41.0,101.0
2020,Gunda,/m/gunda_2020,91,66,98.0,"Experiential cinema in its purest form, GUNDA chronicles the unfiltered lives of a mother pig, a flock of chickens, and a herd of cows with masterful intimacy. Using stark, transcendent black and white cinematography and the farm's ambient soundtrack, Master director Victor Kossakowsky invites the audience to slow down and experience life as his subjects do, taking in their world with a magical patience and an other worldly perspective. GUNDA asks us to meditate on the mystery of animal consciousness, and reckon with the role humanity plays in it.",G,Documentary,English,Victor Kossakovsky,"Anita Rehoff Larsen, 



Joslyn Barnes, 



Susan Rockefeller","Victor Kossakovsky, 



Ainara Vera",2021-04-16,2021-04-16,1h 33m,NEON,Flat (1.851),Pixar,1.0,33.0,93.0
2020,The Fight,/m/the_fight_2020,67,70,99.0,"At a defining moment in American history, a scrappy team of heroic ACLU lawyers battles for abortion rights, immigrant rights, LGBTQ rights and voting rights.",PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,"Elyse Steinberg, 



Josh Kriegman, 



Eli B. Despres","Eli B. Despres, 



Peggy Drexler, 



Josh Kriegman, 



Maya Seidler, 



Elyse Steinberg, 



Kerry Washington","Victor Kossakovsky, 



Ainara Vera",2020-07-31,2020-07-30,1h 36m,Magnolia Pictures,Flat (1.851),Pixar,1.0,36.0,96.0
2020,Another Round (Druk),/m/another_round,216,89,92.0,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,PG-13 (Thematic Material|Strong Language|Brief Violence),"Comedy, 
                        
                        Drama",Danish,Thomas Vinterberg,"Kasper Dissing, 



Sisse Graum Jørgensen","Thomas Vinterberg, 



Tobias Lindholm",2020-12-04,2020-12-18,1h 55m,Samuel Goldwyn Films,Flat (1.851),Pixar,1.0,55.0,115.0
2020,A Thousand Cuts,/m/a_thousand_cuts_2020,44,80,100.0,Journalist Maria Ressa risks her life and freedom as an outspoken critic of Filipino President Rodrigo Duterte's war on drugs.,PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,Ramona S. Diaz,"Ramona S. Diaz, 



Chris Clements, 



Christopher Clements, 



Julie Goldman, 



Carolyn Hepburn, 



Leah Marino",Ramona S. Diaz,2020-08-07,2020-08-07,1h 50m,PBS Distribution,Flat (1.851),Pixar,1.0,50.0,110.0
2020,Coup 53,/m/coup_53,44,86,100.0,"The story of Operation Ajax, the CIA/MI6 staged coup in 1953 in Iran that overthrew Prime Minister Mossadegh.",PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,Taghi Amirani,"Taghi Amirani, 



Paul Zaentz",Taghi Amirani,2020-08-21,2020-08-07,1h 58m,Amirani Media,Flat (1.851),Pixar,1.0,58.0,118.0
2020,Rewind,/m/rewind_2020,44,96,100.0,"Digging through his father's home videos, a young man reconstructs the story of his boyhood and recalls the abuse he suffered through.",PG-13 (Thematic Material|Strong Language|Brief Violence),"Drama, 
                        
                        Documentary",English,Sasha Neulinger,"Avela Grenier, 



Shasta Grenier, 



Robert Schneeweis",Taghi Amirani,2020-08-21,2020-06-12,1h 26m,Amirani Media,Flat (1.851),Pixar,1.0,26.0,86.0
2020,Mayor,/m/mayor,43,85,100.0,"A look at the life of Musa Hadid, the charismatic mayor of Palestinian city Ramallah, who aspires to lead the city into the future.",PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,David Osit,David Osit,Taghi Amirani,2020-08-21,2021-02-14,1h 29m,Amirani Media,Scope (2.351),Pixar,1.0,29.0,89.0
2020,Mystify: Michael Hutchence,/m/mystify_michael_hutchence,41,94,100.0,"Archival footage, private home movies and intimate interviews offer insight into the extraordinary life and career of former INXS singer Michael Hutchence.",PG-13 (Thematic Material|Strong Language|Brief Violence),"Biography, 
                        
                        Music, 
                        
                        Documentary",English (Australia),Richard Lowenstein,"John Battsek, 



Andrew de Groot",Richard Lowenstein,2020-08-21,2020-01-21,1h 48m,Amirani Media,Scope (2.351),Pixar,1.0,48.0,108.0
